block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
1,1,norm_sweet_sae_where_norm_cat_sae.wav,cat01,dog01,cat,,,left,0,,black-background,LWL
1,2,norm_game_aae_where_norm_dog_aae.wav,cat01,dog01,dog,,,right,1,,black-background,LWL
2,3,acrossTheUniverse_55dB000.wav,balloons_left,balloons_right,AG,,,left,0,,black-background,LWL
2,4,norm_cool_aae_see_norm_bunny_aae.wav,bunny01,duck01,bunny,,,left,0,,black-background,LWL
2,5,norm_cute_aae_see_norm_fish_aae.wav,cow01,fish01,fish,,,right,1,,black-background,LWL
2,6,norm_sweet_aae_where_norm_duck_aae.wav,bunny02,duck02,duck,,,right,1,,black-background,LWL
2,7,norm_game_aae_where_norm_cow_aae.wav,cow02,fish02,cow,,,left,0,,black-background,LWL
3,8,acrossTheUniverse_55dB004.wav,beach_left,beach_right,AG,,,right,1,,black-background,LWL
3,9,norm_cute_sae_where_norm_fish_sae.wav,cow03,fish03,fish,,,right,1,,black-background,LWL
3,10,norm_cool_sae_see_norm_duck_sae.wav,duck03,bunny03,duck,,,left,0,,black-background,LWL
3,11,norm_game_sae_see_norm_bunny_sae.wav,duck01,bunny01,bunny,,,right,1,,black-background,LWL
3,12,norm_sweet_sae_where_norm_cow_sae.wav,cow01,fish01,cow,,,left,0,,black-background,LWL
4,13,acrossTheUniverse_55dB008.wav,beach_left,beach_right,AG,,,right,1,,black-background,LWL
4,14,norm_cute_aae_where_norm_cow_aae.wav,bunny02,cow02,cow,,,right,1,,black-background,LWL
4,15,norm_game_aae_where_norm_bunny_aae.wav,bunny03,cow03,bunny,,,left,0,,black-background,LWL
4,16,norm_cool_aae_see_norm_fish_aae.wav,fish02,duck02,fish,,,left,0,,black-background,LWL
4,17,norm_sweet_aae_see_norm_duck_aae.wav,fish01,duck03,duck,,,right,1,,black-background,LWL
5,18,acrossTheUniverse_55dB011.wav,ocean_left,ocean_right,AG,,,left,0,,black-background,LWL
5,19,norm_game_sae_norm_see_bunny_sae.wav,bunny01,cow02,bunny,,,left,0,,black-background,LWL
5,20,norm_sweet_sae_norm_where_fish_sae.wav,fish03,duck03,fish,,,left,0,,black-background,LWL
5,21,norm_cute_sae_norm_where_duck_sae.wav,fish02,duck01,duck,,,right,1,,black-background,LWL
5,22,norm_cool_sae_norm_see_cow_sae.wav,bunny02,cow01,cow,,,right,1,,black-background,LWL
6,23,acrossTheUniverse_55dB016.wav,balloons_left,balloons_right,AG,,,left,0,,black-background,LWL
6,24,norm_cute_aae_norm_where_fish_aae.wav,bunny02,fish02,fish,,,right,1,,black-background,LWL
6,25,norm_game_aae_norm_see_duck_aae.wav,duck01,buny02,duck,,,left,0,,black-background,LWL
6,26,norm_cool_aae_norm_see_cow_aae.wav,duck01,cow01,cow,,,right,1,,black-background,LWL
6,27,norm_sweet_aae_norm_where_bunny_aae.wav,bunny03,fish01,bunny,,,left,0,,black-background,LWL
7,28,acrossTheUniverse_55dB028.wav,fireworks_left,fireworks_right,AG,,,right,1,,black-background,LWL
7,29,norm_sweet_sae_norm_see_duck_sae.wav,cow02,duck02,duck,,,right,1,,black-background,LWL
7,30,norm_cute_sae_norm_where_bunny_sae.wav,fish02,bunny01,bunny,,,right,1,,black-background,LWL
7,31,norm_game_sae_norm_see_cow_sae.wav,cow03,duck03,cow,,,left,0,,black-background,LWL
7,32,norm_cool_sae_norm_where_fish_sae.wav,fish03,bunny03,fish,,,left,0,,black-background,LWL
