block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
0,1,norm_sweet_sae_where_norm_cat_sae,cat01,dog01,cat,,,left,0,,black-background,LWL
0,2,norm_game_aae_where_norm_dog_aae,cat01,dog01,dog,,,right,1,,black-background,LWL
1,3,check_out,balloons_left,balloons_right,AG,,,left,0,,black-background,LWL
1,4,norm_cool_aae_see_norm_bunny_aae,bunny01,duck01,bunny,,,left,0,,black-background,LWL
1,5,norm_cute_aae_see_norm_fish_aae,cow01,fish01,fish,,,right,1,,black-background,LWL
1,6,norm_sweet_aae_where_norm_duck_aae,bunny02,duck02,duck,,,right,1,,black-background,LWL
1,7,norm_game_aae_where_norm_cow_aae,cow02,fish02,cow,,,left,0,,black-background,LWL
2,8,check_out,beach_left,beach_right,AG,,,right,1,,black-background,LWL
2,9,norm_cute_sae_where_norm_fish_sae,cow03,fish03,fish,,,right,1,,black-background,LWL
2,10,norm_cool_sae_see_norm_duck_sae,duck03,bunny03,duck,,,left,0,,black-background,LWL
2,11,norm_game_sae_see_norm_bunny_sae,duck01,bunny01,bunny,,,right,1,,black-background,LWL
2,12,norm_sweet_sae_where_norm_cow_sae,cow01,fish01,cow,,,left,0,,black-background,LWL
3,13,check_out,beach_left,beach_right,AG,,,right,1,,black-background,LWL
3,14,norm_cute_aae_where_norm_cow_aae,bunny02,cow02,cow,,,right,1,,black-background,LWL
3,15,norm_game_aae_where_norm_bunny_aae,bunny03,cow03,bunny,,,left,0,,black-background,LWL
3,16,norm_cool_aae_see_norm_fish_aae,fish02,duck02,fish,,,left,0,,black-background,LWL
3,17,norm_sweet_aae_see_norm_duck_aae,fish01,duck03,duck,,,right,1,,black-background,LWL
4,18,check_out,ocean_left,ocean_right,AG,,,left,0,,black-background,LWL
4,19,norm_game_sae_norm_see_bunny_sae,bunny01,cow02,bunny,,,left,0,,black-background,LWL
4,20,norm_sweet_sae_norm_where_fish_sae,fish03,duck03,fish,,,left,0,,black-background,LWL
4,21,norm_cute_sae_norm_where_duck_sae,fish02,duck01,duck,,,right,1,,black-background,LWL
4,22,norm_cool_sae_norm_see_cow_sae,bunny02,cow01,cow,,,right,1,,black-background,LWL
5,23,check_out,balloons_left,balloons_right,AG,,,left,0,,black-background,LWL
5,24,norm_cute_aae_norm_where_fish_aae,bunny02,fish02,fish,,,right,1,,black-background,LWL
5,25,norm_game_aae_norm_see_duck_aae,duck01,buny02,duck,,,left,0,,black-background,LWL
5,26,norm_cool_aae_norm_see_cow_aae,duck01,cow01,cow,,,right,1,,black-background,LWL
5,27,norm_sweet_aae_norm_where_bunny_aae,bunny03,fish01,bunny,,,left,0,,black-background,LWL
6,28,check_out,fireworks_left,fireworks_right,AG,,,right,1,,black-background,LWL
6,29,norm_sweet_sae_norm_see_duck_sae,cow02,duck02,duck,,,right,1,,black-background,LWL
6,30,norm_cute_sae_norm_where_bunny_sae,fish02,bunny01,bunny,,,right,1,,black-background,LWL
6,31,norm_game_sae_norm_see_cow_sae,cow03,duck03,cow,,,left,0,,black-background,LWL
6,32,norm_cool_sae_norm_where_fish_sae,fish03,bunny03,fish,,,left,0,,black-background,LWL
