block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
1,1,pinwheel_short,,,,pinwheel_2s,pinwheel_2s,right,1,right,black-background,PLP
1,2,pinwheel_short,,,,pinwheel_2s,pinwheel_2s,left,0,left,black-background,PLP
1,3,aae_game_see_dog,cat01,dog01,dog,,,right,1,,black-background,LWL
1,4,sae_sweet_where_cat,cat01,dog01,cat,,,left,0,,black-background,LWL
1,5,AG_blue_drops,balloons_left,balloons_right,AG,,,left,0,,black-background,LWL
2,6,aae_sweet_see_duck,duck,fish,duck,,,left,0,,black-background,LWL
2,7,aae_sweet_where_horse,pig,horse,horse,,,right,1,,black-background,LWL
2,8,aae_cool_where_monkey,lion,monkey,monkey,,,right,1,,black-background,LWL
2,9,aae_cute_where_cow,cow,bunny,cow,,,left,0,,black-background,LWL
2,10,AG_child_song,beach_left,beach_right,AG,,,left,0,,black-background,LWL
3,11,sae_sweet_where_horse,pig,horse,horse,,,right,1,,black-background,LWL
3,12,sae_cool_where_monkey,monkey,lion,monkey,,,left,0,,black-background,LWL
3,13,sae_sweet_see_duck,fish,duck,duck,,,right,1,,black-background,LWL
3,14,sae_cute_where_cow,bunny,cow,cow,,,right,1,,black-background,LWL
3,15,AG_upright_top,ocean_left,ocean_right,AG,,,left,0,,black-background,LWL
4,16,aae_game_where_lion,lion,monkey,lion,,,left,0,,black-background,LWL
4,17,aae_cool_see_bunny,bunny,cow,bunny,,,left,0,,black-background,LWL
4,18,aae_game_see_pig,horse,pig,pig,,,right,1,,black-background,LWL
4,19,aae_cute_see_fish,fish,duck,fish,,,left,0,,black-background,LWL
4,20,AG_village_fair,fireworks_left,fireworks_right,AG,,,left,0,,black-background,LWL
5,21,sae_cool_see_bunny,bunny,cow,bunny,,,left,0,,black-background,LWL
5,22,sae_game_where_lion,monkey,lion,lion,,,right,1,,black-background,LWL
5,23,sae_cute_see_fish,fish,duck,fish,,,left,0,,black-background,LWL
5,24,sae_game_see_pig,horse,pig,pig,,,right,1,,black-background,LWL
